UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
100654, 1,"R",6560,"R",192,"R",2901,"R",3467
100654, 2,"R",5479,"R",133,"R",2341,"R",3005
100654, 3,"R",5472,"R",131,"R",2340,"R",3001
100654,11,"R",7,"R",2,"R",1,"R",4
100654,12,"R",1081,"R",59,"R",560,"R",462
100663, 1,"R",25843,"R",7308,"R",12131,"R",6404
100663, 2,"R",15803,"R",3113,"R",9867,"R",2823
100663, 3,"R",14966,"R",2731,"R",9700,"R",2535
100663,11,"R",837,"R",382,"R",167,"R",288
100663,12,"R",10040,"R",4195,"R",2264,"R",3581
100690, 1,"R",1079,"R",1079,"A",,"A",
100690, 2,"R",472,"R",472,"A",,"A",
100690, 3,"R",472,"R",472,"A",,"A",
100690,12,"R",607,"R",607,"A",,"A",
100706, 1,"R",11312,"R",907,"R",4889,"R",5516
100706, 2,"R",8898,"R",319,"R",4131,"R",4448
100706, 3,"R",8484,"R",277,"R",4078,"R",4129
100706,11,"R",414,"R",42,"R",53,"R",319
100706,12,"R",2414,"R",588,"R",758,"R",1068
100724, 1,"R",4640,"R",93,"R",2468,"R",2079
100724, 2,"R",4127,"R",44,"R",2225,"R",1858
100724, 3,"R",4121,"R",44,"R",2225,"R",1852
100724,11,"R",6,"R",0,"R",0,"R",6
100724,12,"R",513,"R",49,"R",243,"R",221
100751, 1,"R",42096,"R",5817,"R",1157,"R",35122
100751, 2,"R",35872,"R",3898,"R",600,"R",31374
100751, 3,"R",34312,"R",2858,"R",482,"R",30972
100751,11,"R",1560,"R",1040,"R",118,"R",402
100751,12,"R",6224,"R",1919,"R",557,"R",3748
100760, 1,"R",2325,"R",503,"R",1122,"R",700
100760, 2,"R",2325,"R",503,"R",1122,"R",700
100760, 3,"R",1469,"R",259,"R",973,"R",237
100760,11,"R",856,"R",244,"R",149,"R",463
100812, 1,"R",3878,"R",1852,"R",1720,"R",306
100812, 2,"R",3661,"R",1637,"R",1720,"R",304
100812, 3,"R",3411,"R",1406,"R",1714,"R",291
100812,11,"R",250,"R",231,"R",6,"R",13
100812,12,"R",217,"R",215,"R",0,"R",2
100830, 1,"R",6199,"R",877,"R",3557,"R",1765
100830, 2,"R",5274,"R",541,"R",3122,"R",1611
100830, 3,"R",4938,"R",402,"R",3069,"R",1467
100830,11,"R",336,"R",139,"R",53,"R",144
100830,12,"R",925,"R",336,"R",435,"R",154
100858, 1,"R",32840,"R",2588,"R",6916,"R",23336
100858, 2,"R",26235,"R",891,"R",6461,"R",18883
100858, 3,"R",25687,"R",885,"R",6440,"R",18362
100858,11,"R",548,"R",6,"R",21,"R",521
100858,12,"R",6605,"R",1697,"R",455,"R",4453
100937, 1,"R",1237,"R",4,"R",219,"R",1014
100937, 2,"R",1237,"R",4,"R",219,"R",1014
100937, 3,"R",1230,"R",3,"R",218,"R",1009
100937,11,"R",7,"R",1,"R",1,"R",5
101028, 1,"R",2075,"R",283,"R",1033,"R",759
101028, 2,"R",2075,"R",283,"R",1033,"R",759
101028, 3,"R",1801,"R",215,"R",935,"R",651
101028,11,"R",274,"R",68,"R",98,"R",108
101116, 1,"R",594,"R",133,"R",269,"R",192
101116, 2,"R",487,"R",99,"R",220,"R",168
101116, 3,"R",486,"R",98,"R",220,"R",168
101116,11,"R",1,"R",1,"Z",0,"R",0
101116,12,"R",107,"R",34,"R",49,"R",24
101143, 1,"R",2525,"R",546,"R",1041,"R",938
101143, 2,"R",2525,"R",546,"R",1041,"R",938
101143, 3,"R",1706,"R",265,"R",847,"R",594
101143,11,"R",819,"R",281,"R",194,"R",344
101161, 1,"R",9883,"R",2235,"R",4512,"R",3136
101161, 2,"R",9883,"R",2235,"R",4512,"R",3136
101161, 3,"R",7061,"R",1536,"R",4294,"R",1231
101161,11,"R",2822,"R",699,"R",218,"R",1905
101189, 1,"R",3770,"R",1276,"R",750,"R",1744
101189, 2,"R",2645,"R",816,"R",541,"R",1288
101189, 3,"R",2363,"R",816,"R",539,"R",1008
101189,11,"R",282,"R",0,"R",2,"R",280
101189,12,"R",1125,"R",460,"R",209,"R",456
101240, 1,"R",6108,"R",1342,"R",2835,"R",1931
101240, 2,"R",6108,"R",1342,"R",2835,"R",1931
101240, 3,"R",5129,"R",932,"R",2671,"R",1526
101240,11,"R",979,"R",410,"R",164,"R",405
101277, 1,"R",127,"A",,"A",,"R",127
101277, 2,"R",127,"A",,"A",,"R",127
101277, 3,"C",127,"A",,"A",,"C",127
101286, 1,"R",5785,"R",1027,"R",2878,"R",1880
101286, 2,"R",5785,"R",1027,"R",2878,"R",1880
101286, 3,"R",4695,"R",731,"R",2649,"R",1315
101286,11,"R",1090,"R",296,"R",229,"R",565
101295, 1,"R",6944,"R",1157,"R",3139,"R",2648
101295, 2,"R",6944,"R",1157,"R",3139,"R",2648
101295, 3,"R",6073,"R",886,"R",2934,"R",2253
101295,11,"R",871,"R",271,"R",205,"R",395
101301, 1,"R",2239,"R",787,"R",840,"R",612
101301, 2,"R",2239,"R",787,"R",840,"R",612
101301, 3,"R",1437,"R",374,"R",733,"R",330
101301,11,"R",802,"R",413,"R",107,"R",282
101365, 1,"R",1152,"R",434,"R",254,"R",464
101365, 2,"R",1129,"R",411,"R",254,"R",464
101365, 3,"R",1117,"R",403,"R",250,"R",464
101365,11,"R",12,"R",8,"R",4,"R",0
101365,12,"R",23,"R",23,"Z",0,"R",0
101435, 1,"R",1109,"R",0,"R",208,"R",901
101435, 2,"R",1109,"R",0,"R",208,"R",901
101435, 3,"R",1104,"R",0,"R",208,"R",896
101435,11,"R",5,"R",0,"R",0,"R",5
101453, 1,"R",131,"R",82,"R",42,"R",7
101453, 2,"R",85,"R",51,"R",29,"R",5
101453, 3,"R",80,"R",46,"R",29,"R",5
101453,11,"R",5,"R",5,"R",0,"R",0
101453,12,"R",46,"R",31,"R",13,"R",2
